ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc
2024-07-15,556.26171875,40584300,7,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0
2024-07-16,559.5604858398438,36475300,7,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0
2024-07-17,551.71484375,57119000,7,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0
2024-07-18,547.4749145507812,56270400,7,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0
2024-07-19,543.83935546875,65509100,7,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0
2024-07-22,549.4462890625,43346700,7,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0
2024-07-23,548.58447265625,34439600,7,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0
2024-07-24,536.1521606445312,74515300,7,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0
2024-07-25,533.3585815429688,61158300,7,25,0.028,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,29.0
2024-07-26,539.3320922851562,53763800,7,26,none event,none event,none event,none event,none event,0.026,none event,,,,,,,,,,,1.0,0.0,,,1,30.0
2024-07-29,539.6490478515625,39515800,7,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,31.0
2024-07-30,536.9149780273438,46853600,7,30,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,32.0
2024-07-31,545.642333984375,65663400,7,31,none event,none event,none event,none event,none event,none event,0.055,,,,,,,,,,,,,0.0,0.0,1,0.0
2024-08-01,537.9154663085938,76428700,8,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0
2024-08-02,527.9003295898438,82789100,8,2,none event,114K,none event,none event,0.043,none event,none event,,,,,,,-1.0,-1.0,1.0,1.0,,,,,1,2.0
2024-08-05,512.5260009765625,146267400,8,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0
2024-08-06,517.2511596679688,84826300,8,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0
2024-08-07,513.7939453125,70698300,8,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0
2024-08-08,525.6715087890625,63276600,8,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0
2024-08-09,527.989501953125,45619600,8,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0
