,Actual,predicted
1873,302.2993159693658,302.2477761501617
1874,303.06151151613227,302.25675460077025
1875,302.2959987925116,300.90879915111253
1876,301.8237730468503,301.7111237200347
1877,300.89863130046723,302.2072167999497
1878,302.08224315229967,303.15432679406393
1879,302.5572466964649,303.40172281388107
1880,302.83176330783476,304.6580128955629
1881,301.5951035952533,302.6251093319586
1882,302.4020405761747,303.9328666518819
1883,304.2755173380024,305.030597335877
1884,305.82258929116426,305.6179839802833
1885,307.4889447664882,307.36149833043385
1886,307.8015684583047,307.82926621206946
1887,308.0296715626339,307.165589922286
1888,311.17405856228515,310.2856715380523
1889,308.4472313124953,310.9714146366996
1890,310.14894303867953,312.66435069053176
1891,311.0254867957033,315.2385400285029
1892,313.01274542052045,316.18993693891633
1893,308.65324687338097,312.99076204253527
1894,306.24068841937594,309.16761816029407
1895,304.0540485873815,307.6965290056644
1896,307.3354107190838,310.6434324361225
1897,306.8565506197142,312.2091008834356
1898,299.75309956016383,304.5557049831664
1899,298.2115832040098,304.1087619349262
1900,301.5188894343601,307.02835493432457
1901,301.76411780131036,306.50223414341394
1902,300.2673159103937,305.47790252907413
1903,305.0095573348847,305.5347220261841
1904,300.83290804848673,301.2051792230191
1905,295.303039388014,294.54266408612585
1906,286.45316213704206,285.811317530383
1907,289.419122778424,287.9183239346225
1908,287.1805677802161,286.6665526009711
1909,293.7979580394206,291.0730723689215
1910,295.17048715843504,292.42582934325446
1911,295.1831895185839,291.8328618889336
1912,300.1563118459079,295.4800482266584
1913,301.3040280685299,296.0154556406284
1914,306.16504060575033,300.2160209592568
1915,306.7742414834628,300.6563111336901
1916,309.75678800911555,303.1040468798334
1917,309.14205850331285,302.00772577121893
1918,310.4527209255513,302.96729278674906
1919,307.6795071376383,300.2490554639392
1920,311.2127050210817,304.03596871937384
1921,310.231225206013,303.67612954516284
1922,310.7261048423857,303.60855689045343
1923,308.8692139648288,301.2279426273215
1924,308.8570509830302,303.2486951089917
1925,311.9743611894979,305.04376874491834
1926,305.3757682658003,297.62545915990927
1927,304.88639028860035,296.4908958168009
1928,303.9662377919573,296.3960253582829
1929,298.7197045788814,291.40482603386425
1930,302.1788997526678,292.4829266629031
1931,303.53044705385673,293.27387068908473
1932,306.7676071297544,295.56760511370663
1933,309.06692309912023,298.2865054145632
1934,310.7382678241843,301.71030076833733
1935,311.1287507808622,301.2314853052192
1936,311.21105991711346,302.85086178322985
1937,310.3096508181423,301.5941859784348
1938,315.5777321963115,307.0720027068831
1939,314.9651871728274,305.6619548507044
1940,315.85001038752773,305.2043595999346
1941,316.6431662515997,304.79790912152276
1942,316.0538144971773,304.3107444249919
1943,317.3302533630912,305.12801793098936
