,Actual,Predicted
1863,300.7563982184237,300.50565
1864,299.9967080538933,299.45853
1865,299.5280741000118,299.39438
1866,298.6099690655199,299.01532
1867,299.7845782584356,300.6698
1868,300.2559688826341,301.39948
1869,300.5283974958014,302.21857
1870,299.3011439289689,301.07498
1871,300.1019432741482,302.50128
1872,301.96117020208897,304.01144
1873,303.49647498589326,305.74686
1874,305.15015601058957,307.35422
1875,305.4604018582992,307.9669
1876,305.6867699897629,308.03784
1877,308.807240497182,310.8662
1878,306.10115374235846,309.96365
1879,307.7899220950695,311.54272
1880,308.65979878090945,312.53003
1881,310.63194213668726,313.89294
1882,306.305602330234,309.8077
1883,303.9113940142786,307.01917
1884,301.7413859628386,305.16772
1885,304.9977897570518,308.36694
1886,304.52257191095697,308.84726
1887,297.47315034335725,301.7809
1888,295.94335890018675,300.56647
1889,299.2255094598845,303.85693
1890,299.4688725976712,303.52625
1891,297.98345551746684,301.67392
1892,302.6896270242905,305.71912
1893,298.5447457105452,300.94568
1894,293.05693773181355,295.24127
1895,284.27437344853666,285.5695
1896,287.21777472472337,288.1564
1897,284.9962463785248,287.02112
1898,291.56330416823727,292.5542
1899,292.92539370649496,294.186
1900,292.93799945134236,294.1803
1901,297.87329575994664,298.767
1902,299.0122823490578,299.40988
1903,303.83632158477315,303.8309
1904,304.4408888254487,304.96967
1905,307.4007498321687,307.9082
1906,306.79069601464863,306.70248
1907,308.0913894198278,308.1212
1908,305.33926894709015,304.7955
1909,308.8455930075139,308.55057
1910,307.871578416788,307.67786
1911,308.36269395383687,308.1158
1912,306.5199267564294,305.43323
1913,306.5078562873717,306.31427
1914,309.60145595014797,308.60162
1915,303.05305252170655,301.52747
1916,302.5673967977126,300.17035
1917,301.6542430642755,300.7715
1918,296.4476154578727,295.13632
1919,299.8804996799497,297.5487
1920,301.2217669899881,298.67215
1921,304.4343049332355,302.58722
1922,306.71613209714366,305.7482
1923,308.3747644228947,307.5123
1924,308.76227733084727,307.1877
1925,308.84396041635534,307.81805
1926,307.94940751661034,306.95367
1927,313.17741939081156,312.16864
1928,312.5695334402398,311.41876
1929,313.4476266094516,311.7968
1930,314.234749658204,312.87836
1931,313.64988056658933,313.0976
1932,314.9166107229122,314.3104
1933,314.5219518831671,313.86612
1934,315.8544406702545,314.77115
1935,312.90938003911975,311.64795
1936,312.9526838505064,311.83734
1937,312.42648098544277,311.03278
1938,315.2290244375701,313.80283
1939,312.207232021982,310.7943
1940,315.23231638367673,312.60968
1941,317.474693721884,314.1691
1942,316.81748210729154,313.86255
1943,318.7348132222041,315.0395
1944,321.1915149866069,316.79367
1945,318.7474189670515,315.16354
1946,320.2388846636795,315.98755
1947,320.1840724228143,316.4506
1948,321.45570035261295,317.30957
1949,320.86976070941887,317.16885
1950,320.71739445588105,317.8979
1951,317.7695771544293,315.0182
1952,318.4514382191376,316.00095
1953,318.35607883720263,315.93225
1954,319.2001819937685,316.4686
1955,319.71541170514337,317.46716
1956,318.66027606848854,316.52148
1957,312.72851034978044,310.4893
1958,314.00835476295083,312.10834
1959,313.12533705647377,311.5794
1960,316.96602113893306,315.01794
1961,324.9839707204143,320.99826
1962,327.399001264589,323.34555
1963,328.628984737949,323.8764
1964,328.94744706903043,324.7418
1965,327.9959140614719,324.0577
1966,328.07208380634614,323.95108
1967,326.087334705721,322.8356
1968,321.78184389127654,318.7986
1969,323.04252543117576,320.35168
1970,324.32293188392543,322.09598
1971,324.3300510519284,321.14685
1972,326.0621232160261,321.82672
1973,327.1928933217654,323.0964
1974,328.1811730122868,324.641
1975,330.0590275377091,325.94797
1976,328.8043946142334,325.53024
1977,330.6482591270098,327.20786
1978,331.4578369951401,329.1924
1979,331.6074733421505,330.0122
1980,333.6141687501534,332.71594
1981,332.99038510862755,332.60757
1982,333.82134724455636,334.0834
1983,331.77027747358756,332.43506
1984,330.78694908412086,332.18222
1985,333.48808453788973,335.3447
1986,331.68257253544533,333.5487
1987,331.6737940124942,333.45578
1988,332.9339402766038,335.43814
1989,331.6474852074305,334.1781
1990,321.86625688331213,324.84583
1991,321.58780641751065,325.05325
1992,325.083184088035,328.1886
1993,327.45215415050615,330.48544
1994,331.0681294564497,334.24982
1995,330.93382876081427,334.1701
1996,327.27511168306324,330.2601
1997,323.77261484453584,327.34738
1998,322.3853138165833,325.8477
1999,321.6683654238604,324.92792
2000,325.72010875019794,328.56848
2001,327.5239613976943,331.18246
2002,323.88716386353144,327.4405
2003,324.3925445003758,327.398
2004,319.39312215216546,322.7085
2005,319.89630815827206,322.02014
2006,320.26299883800544,321.35138
2007,326.12790861058016,326.8142
2008,325.4389016140795,325.39862
2009,328.6903808710275,328.33826
2010,331.5724127779252,330.2792
2011,333.60758485793997,332.8664
2012,335.3802041631073,333.53494
2013,334.42264930291464,333.39087
2014,329.54652773286153,327.6591
2015,332.5842446031932,331.6567
2016,331.0281175911696,331.2728
2017,332.77442809127325,332.2906
2018,331.09497353730296,330.93246
2019,328.5758050882423,327.59613
2020,330.94972645176813,330.875
2021,332.24330068894443,332.09836
2022,333.4540945252437,333.64105
2023,330.2980281778096,330.41748
2024,332.5151672625326,332.82755
2025,332.62808369036964,332.50623
2026,331.7220491249355,332.32123
2027,335.18068011249704,335.57996
2028,335.15656593817107,335.92505
2029,335.97601964462143,335.98203
2030,336.77462435906295,336.62045
2031,335.3149808081326,335.70865
2032,329.59312349035497,330.38986
2033,327.95534015661275,327.9011
2034,326.42059741238756,325.16644
2035,326.4649985391431,325.40158
2036,321.2857770531729,319.9919
2037,326.3794882317387,323.67807
