,SPY_return,Predicted,diff,sign,acc_diff,big_gap
1867,0.39335900157368986,0.4957801,0.10242110878550204,1,0.10242110878550204,0
1868,0.15724312002203256,0.21618503,0.05894191329934806,1,0.1613630220848501,0
1869,0.09073212238914774,0.17469239,0.08396026996009542,1,0.24532329204494552,0
1870,-0.4083652583445674,-0.3799295,0.028435745605385865,1,0.2737590376503314,0
1871,0.26755639309195,0.33626303,0.06870663767549079,1,0.34246567532582217,0
1872,0.6195317856513505,0.5823272,-0.03720459859004066,0,-0.03720459859004066,0
1873,0.5084444409779065,0.45920986,-0.04923458160672123,0,-0.08643918019676189,0
1874,0.5448765178485582,0.61709654,0.07222002546351458,1,0.07222002546351458,0
1875,0.10166989647510949,0.16243906,0.06076916671630439,1,0.13298919217981897,0
1876,0.07410719362856977,0.0022611578,-0.07184603578249149,0,-0.07184603578249149,0
1877,1.0208065293514812,0.96961814,-0.05118838770032763,0,-0.12303442348281912,0
1878,-0.8763028841120457,-0.6087996,0.26750330735270733,1,0.26750330735270733,0
1879,0.5517027074430692,0.5439127,-0.00778999868376129,0,-0.00778999868376129,0
1880,0.28262026252154904,0.25192943,-0.030690830367847255,0,-0.038480829051608545,0
1881,0.6389375498743188,0.5921983,-0.04673923759175658,0,-0.08522006664336512,0
1882,-1.3927543241993745,-1.2421167,0.15063763451736767,1,0.15063763451736767,0
1883,-0.7816403936922511,-0.98171794,-0.2000775504529515,0,-0.2000775504529515,0
1884,-0.7140265531926926,-0.71644515,-0.0024185947984878275,0,-0.20249614525143933,0
1885,1.079203564940956,1.1579041,0.07870058316085071,1,0.07870058316085071,0
1886,-0.1558102589770738,-0.06759791,0.0882123482152406,1,0.1669129313760913,0
1887,-2.314909375473495,-2.4968917,-0.18198236151075786,0,-0.18198236151075786,0
1888,-0.5142620237842288,-0.5509664,-0.03670435824244356,0,-0.21868671975320142,0
1889,1.1090468702846357,0.95538926,-0.15365760903890813,0,-0.37234432879210955,0
1890,0.08133101292933098,-0.06650848,-0.14783949234570137,0,-0.5201838211378109,0
1891,-0.49601718780302173,-0.6527694,-0.15675219896531933,0,-0.6769360201031303,-1
1892,1.5793398659167401,1.3511441,-0.22819579052306338,0,-0.9051318106261936,-1
1893,-1.3693502993456064,-1.7175074,-0.3481570630201163,0,-1.25328887364631,-1
1894,-1.8381860868696753,-2.0379057,-0.1997196061845239,0,-1.4530084798308338,-1
1895,-2.996879838863975,-3.421916,-0.42503616913163045,0,-1.8780446489624643,-1
1896,1.0354085880061037,0.99561256,-0.03979602630337542,0,-1.9178406752658397,-1
1897,-0.7734647858502863,-0.5521707,0.2212940919759272,1,0.2212940919759272,0
1898,2.3042611519136447,1.9236933,-0.3805678526201266,0,-0.3805678526201266,0
1899,0.46716768495385086,0.67498714,0.2078194523638066,1,0.2078194523638066,0
1900,0.004303397765514916,0.023260921,0.01895752347433799,1,0.2267769758381446,0
1901,1.6847579753558328,1.522479,-0.1622789180438211,0,-0.1622789180438211,0
1902,0.38237284285767004,0.2977315,-0.08464135391457006,0,-0.24692027195839117,0
1903,1.6133247764330783,1.4196925,-0.19363226010617396,0,-0.4405525320645651,0
1904,0.1989779357261412,0.21187675,0.012898814266229408,1,0.012898814266229408,0
1905,0.9722284736913167,0.7738756,-0.1983528795522176,0,-0.1983528795522176,0
1906,-0.19845553982971165,-0.33823848,-0.13978293787719753,0,-0.3381358174294151,0
1907,0.4239676828782013,0.3458013,-0.07816638902825623,0,-0.41630220645767135,0
1908,-0.8932805548120926,-0.99275863,-0.09947807689414523,0,-0.5157802833518166,0
1909,1.148337085011919,1.2317752,0.08343807959226801,1,0.08343807959226801,0
1910,-0.31537266931381813,-0.30810168,0.00727098545876137,1,0.09070906505102938,0
1911,0.15951960865450143,0.15454628,-0.004973332919600004,0,-0.004973332919600004,0
1912,-0.597597320797616,-0.8197179,-0.22212056326610474,0,-0.22709389618570475,0
1913,-0.003937906806072977,0.16628096,0.17021886188229063,1,0.17021886188229063,0
1914,1.0093051774424433,0.7861067,-0.22319847177685492,0,-0.22319847177685492,0
1915,-2.115107439771169,-2.4503007,-0.335193253740794,0,-0.5583917255176489,0
1916,-0.16025435809103872,-0.255267,-0.09501263614686106,0,-0.65340436166451,-1
1917,-0.3018017615584734,-0.10097013,0.200831634869993,1,0.200831634869993,0
1918,-1.7260249859284649,-1.966157,-0.24013197360522653,0,-0.24013197360522653,0
1919,1.15800702824842,0.9579361,-0.20007092013608485,0,-0.4402028937413114,0
1920,0.4472672652839682,0.37742832,-0.0698389422534964,0,-0.5100418359948078,0
1921,1.0665025888896507,1.3039432,0.23744056830639426,1,0.23744056830639426,0
1922,0.7495302358939249,0.86518615,0.11565591894845184,1,0.3530964872548461,0
1923,0.5407711405364557,0.695638,0.1548668604286627,1,0.5079633476835088,1
1924,0.12566297656613212,0.008278779,-0.11738419781195741,0,-0.11738419781195741,0
1925,0.026455008109871336,0.1406879,0.1142328896915279,1,0.1142328896915279,0
1926,-0.2896455862498093,-0.40519866,-0.11555307722331998,0,-0.11555307722331998,0
1927,1.697685316676334,1.6725975,-0.025087789172366648,0,-0.14064086639568663,0
1928,-0.19410273951238066,-0.2998895,-0.10578676539713472,0,-0.24642763179282134,0
1929,0.2809273058532735,0.117999285,-0.1629280203937551,0,-0.40935565218657644,0
1930,0.25111788443470395,0.29989356,0.048775673590656154,1,0.048775673590656154,0
1931,-0.18612489301417234,-0.16746347,0.018661426489094524,1,0.06743710007975068,0
1932,0.403867571712313,0.2907241,-0.11314347302990946,0,-0.11314347302990946,0
