ds,SPY_Close,SPY_Volume,month,day,Actual_GDP,Actual_nonfarm,Actual_CPI,Actual_PPI,Actual_unemployment rate,Actual_core_PCE,Actual_FOMC,CPI_vs_forecast,CPI_vs_previous,GDP_vs_forecast,GDP_vs_previous,PPI_vs_forecast,PPI_vs_previous,nonfarm_vs_forecast,nonfarm_vs_previous,unemployment rate_vs_forecast,unemployment rate_vs_previous,core_PCE_vs_forecast,core_PCE_vs_previous,FOMC_vs_forecast,FOMC_vs_previous,is_event,days_since_fomc,isr_holiday
2017-05-19,2381.72998046875,3831700000,5,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,12.0,0
2017-05-22,2394.02001953125,3176580000,5,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-05-23,2398.419921875,3216560000,5,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-05-24,2404.389892578125,3389240000,5,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,1
2017-05-25,2415.070068359375,3538210000,5,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2017-05-26,2415.820068359375,2806930000,5,26,0.012,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,17.0,0
2017-05-30,2412.909912109375,3205860000,5,30,none event,none event,none event,none event,none event,0.015,none event,,,,,,,,,,,0.0,-1.0,,,1,18.0,1
2017-05-31,2411.800048828125,4518040000,5,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,1
2017-06-01,2430.06005859375,3860620000,6,1,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2017-06-02,2439.070068359375,3465500000,6,2,none event,138K,none event,none event,0.043,none event,none event,,,,,,,-1.0,-1.0,-1.0,-1.0,,,,,1,21.0,0
2017-06-05,2436.10009765625,2916720000,6,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2017-06-06,2429.330078125,3376750000,6,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-06-07,2433.139892578125,3576220000,6,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-06-08,2433.7900390625,3735980000,6,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2017-06-09,2431.77001953125,4029860000,6,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0,0
2017-06-12,2429.389892578125,4031840000,6,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2017-06-13,2440.35009765625,3278240000,6,13,none event,none event,none event,0.024,none event,none event,none event,,,,,1.0,-1.0,,,,,,,,,1,28.0,0
2017-06-14,2437.919921875,3558640000,6,14,none event,none event,0.019,none event,none event,none event,0.0125,-1.0,-1.0,,,,,,,,,,,0.0,1.0,1,0.0,0
2017-06-15,2432.4599609375,3371980000,6,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-06-16,2433.14990234375,5299380000,6,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,2.0,0
2017-06-19,2453.4599609375,3271480000,6,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-06-20,2437.030029296875,3422700000,6,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,4.0,0
2017-06-21,2435.610107421875,3599190000,6,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-06-22,2434.5,3477250000,6,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2017-06-23,2438.300048828125,5282460000,6,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,7.0,0
2017-06-26,2439.070068359375,3243660000,6,26,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-06-27,2419.3798828125,3564770000,6,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2017-06-28,2440.68994140625,3479980000,6,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2017-06-29,2419.699951171875,3869560000,6,29,0.014,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,11.0,0
2017-06-30,2423.409912109375,3366030000,6,30,none event,none event,none event,none event,none event,0.014,none event,,,,,,,,,,,0.0,-1.0,,,1,12.0,0
2017-07-03,2429.010009765625,1901480000,7,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-07-05,2432.5400390625,3368150000,7,5,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-07-06,2409.75,3368710000,7,6,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2017-07-07,2425.179931640625,2929390000,7,7,none event,222K,none event,none event,0.044,none event,none event,,,,,,,1.0,1.0,1.0,1.0,,,,,1,16.0,0
2017-07-10,2427.429931640625,3009880000,7,10,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2017-07-11,2425.530029296875,3108800000,7,11,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,1
2017-07-12,2443.25,3176900000,7,12,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2017-07-13,2447.830078125,3068510000,7,13,none event,none event,none event,0.02,none event,none event,none event,,,,,1.0,-1.0,,,,,,,,,1,20.0,0
2017-07-14,2459.27001953125,2738460000,7,14,none event,none event,0.016,none event,none event,none event,none event,-1.0,-1.0,,,,,,,,,,,,,1,21.0,0
2017-07-17,2459.139892578125,2800580000,7,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2017-07-18,2460.610107421875,2974090000,7,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-07-19,2473.830078125,3063810000,7,19,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-07-20,2473.449951171875,3223820000,7,20,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,25.0,0
2017-07-21,2472.5400390625,3066880000,7,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,26.0,0
2017-07-24,2469.909912109375,3019920000,7,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,27.0,0
2017-07-25,2477.1298828125,4116360000,7,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,28.0,0
2017-07-26,2477.830078125,3597830000,7,26,none event,none event,none event,none event,none event,none event,0.0125,,,,,,,,,,,,,0.0,0.0,1,0.0,0
2017-07-27,2475.419921875,4035740000,7,27,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,1.0,0
2017-07-28,2472.10009765625,3302850000,7,28,0.026,none event,none event,none event,none event,none event,none event,,,0.0,1.0,,,,,,,,,,,1,2.0,0
2017-07-31,2470.300048828125,3475930000,7,31,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,3.0,0
2017-08-01,2476.35009765625,3470260000,8,1,none event,none event,none event,none event,none event,0.015,none event,,,,,,,,,,,1.0,0.0,,,1,4.0,1
2017-08-02,2477.570068359375,3487150000,8,2,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,5.0,0
2017-08-03,2472.159912109375,3662410000,8,3,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,6.0,0
2017-08-04,2476.830078125,3239980000,8,4,none event,209K,none event,none event,0.043,none event,none event,,,,,,,1.0,-1.0,0.0,-1.0,,,,,1,7.0,0
2017-08-07,2480.909912109375,2935130000,8,7,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,8.0,0
2017-08-08,2474.919921875,3347480000,8,8,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,9.0,0
2017-08-09,2474.02001953125,3310960000,8,9,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,10.0,0
2017-08-10,2438.2099609375,3635820000,8,10,none event,none event,none event,0.019,none event,none event,none event,,,,,-1.0,-1.0,,,,,,,,,1,11.0,0
2017-08-11,2441.320068359375,3161830000,8,11,none event,none event,0.017,none event,none event,none event,none event,-1.0,1.0,,,,,,,,,,,,,1,12.0,0
2017-08-14,2465.840087890625,2824320000,8,14,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,13.0,0
2017-08-15,2464.610107421875,2922430000,8,15,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,14.0,0
2017-08-16,2468.110107421875,2956570000,8,16,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,15.0,0
2017-08-17,2430.010009765625,3164950000,8,17,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,16.0,0
2017-08-18,2425.550048828125,3426970000,8,18,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,17.0,0
2017-08-21,2428.3701171875,2803650000,8,21,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,18.0,0
2017-08-22,2452.510009765625,2780990000,8,22,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,19.0,0
2017-08-23,2444.0400390625,2796950000,8,23,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,20.0,0
2017-08-24,2438.969970703125,2849680000,8,24,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,21.0,0
2017-08-25,2443.050048828125,2593350000,8,25,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,22.0,0
2017-08-28,2444.239990234375,2682920000,8,28,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,23.0,0
2017-08-29,2446.300048828125,2739460000,8,29,none event,none event,none event,none event,none event,none event,none event,,,,,,,,,,,,,,,0,24.0,0
2017-08-30,2457.590087890625,2637780000,8,30,0.03,none event,none event,none event,none event,none event,none event,,,1.0,1.0,,,,,,,,,,,1,25.0,0
