,Actual,Predicted_LSTM,Predicted_GRU
0,301.18007700472106,300.857,300.59506
1,301.65366195468806,301.44138,301.27673
2,301.9273587244441,301.811,301.84442
3,300.6943922859761,300.99384,300.5042
4,301.4989193562063,301.44388,300.75467
5,303.36680099501325,302.5736,301.81384
6,304.9092526304449,303.18375,302.75888
7,306.5706315487757,304.4766,304.18246
8,306.8823215924944,304.65268,304.7017
9,307.10974346876884,304.96774,305.4436
10,310.2447397823726,307.34967,308.07117
11,307.52605617985375,304.1919,304.62927
12,309.22268575789093,305.44946,305.36398
13,310.09661172415605,306.35767,306.17957
14,312.07793541734964,307.27582,306.96326
15,307.7314564769524,303.77115,303.28125
16,305.326103109031,301.3461,300.46063
17,303.14599365900403,299.05768,297.67606
18,306.41755602954765,301.56406,299.77045
19,305.9401260419468,299.7465,298.33017
20,298.85788938086637,292.67538,291.43207
21,297.32097675069747,288.238,287.5687
22,300.6184057380508,290.59912,290.1269
23,300.8629017324896,290.5773,290.02567
24,299.3705700281735,286.8314,287.1292
25,304.0986487874507,288.9591,289.61826
26,299.9344730299738,283.60965,283.7256
27,294.4211192770109,277.89078,277.79208
28,285.5976721120405,269.16586,269.5436
29,288.5547749362341,272.57385,273.61728
30,286.3229053642128,267.57645,270.09454
31,292.9205328415508,271.2002,274.39255
32,294.28896291358114,272.42276,276.37634
33,294.30162733823533,273.0328,276.07565
34,299.25989747641825,275.78873,279.28354
35,300.40418605393177,277.33014,280.58566
36,305.250681216982,280.48468,283.62488
37,305.8580627212575,282.78824,286.02444
38,308.8317018961143,284.7977,287.84064
39,308.2188082749511,283.32385,286.91464
40,309.5255564145892,284.9435,288.23346
41,306.76062480696373,283.5783,286.98926
42,310.2832708238364,286.0878,289.22116
43,309.30472219020504,285.3101,288.804
44,309.7981238725928,286.0328,289.3338
45,307.94677858444885,284.7118,288.22702
46,307.9346519272959,284.27173,287.38022
47,311.04265231233745,286.72977,289.6275
48,304.46376603241765,281.39426,284.20468
49,303.9758495785426,280.16754,282.9782
50,303.0584451098022,278.66754,281.628
51,297.8275806252407,273.24973,275.85846
52,301.27644494094324,276.6631,279.3798
53,302.62395585717536,277.8253,280.8497
54,305.8514481809924,280.20273,282.8285
55,308.1438972620284,282.33176,285.18304
56,309.81025052974576,283.63464,286.32394
57,310.1995673122684,284.46414,287.3198
58,310.2816306329577,285.9934,288.7731
59,309.3829135848854,284.24292,286.99866
60,314.63526188112144,286.9179,289.5587
61,314.0245462183382,286.88885,288.93124
62,314.9067269157473,287.53308,289.32553
63,315.6975140263207,288.83984,290.68713
64,315.1099223660908,287.8563,289.3753
65,316.3825491577753,288.77222,289.94458
66,315.9860531791111,288.10562,289.06354
67,317.32474470832284,289.00406,289.4507
68,314.3659748048754,286.88324,287.01636
69,314.40948019572573,287.55002,287.27237
70,313.88082785363173,286.8508,286.5421
71,316.696417159874,288.18787,287.66965
72,313.66055828512384,285.6939,285.2619
73,316.6997244300066,287.15698,286.48532
74,318.9525400462012,288.5476,288.03445
75,318.29226910817874,286.66492,285.97296
76,320.21852540924533,287.515,286.83258
77,322.6866631329364,288.7281,287.87933
78,320.2311898338995,286.48328,285.17767
79,321.7295983109796,287.51727,285.91837
80,321.67453091885267,286.91168,285.16324
81,322.9520782831735,287.3541,285.4799
82,322.36341108794113,286.43817,284.6186
83,322.21033556871316,285.64252,283.5006
84,319.24879616263433,282.69016,280.27274
85,319.933831294089,283.3854,280.76303
86,319.83802801374304,282.35117,279.66934
87,320.6860604748234,282.4454,279.71298
88,321.20368858314197,283.0449,280.37668
89,320.14364128469765,281.77487,278.93866
90,314.18426316620634,277.26816,274.09003
91,315.4700652616712,278.55682,275.31857
92,314.5829371032507,277.45425,274.45676
93,318.44149958977283,279.26596,276.1633
94,326.49677276759695,283.14575,280.5626
95,328.92304529131655,284.26508,280.7464
96,330.1587543440409,285.21976,281.02582
97,330.4786991189036,285.47287,280.68613
98,329.5227367203243,282.2583,277.1632
99,329.59926103575077,282.68097,277.1354
100,327.60527291790294,281.74765,275.95062
101,323.27974002167895,279.20996,273.2176
102,324.5462900405994,280.80988,274.44604
